dataset,localization_method,reduction_method,ac@2,ac@5,avg@5,elapsed_time_sum,bacc,recall,mcc,specificity,f1_score
SS-large,RCD,BIRCH,0.10625,0.13,0.122875,1743.0167636875,0.6090289989588415,0.9761742424242424,0.034151237933785904,0.24188375549344074,0.012660794066248312
SS-large,RCD,FluxInfer-AD,0.125,0.13,0.1268333125,2032.2484395000001,0.5580951860872859,0.996875,0.02444863423235249,0.11931537217457171,0.01125303003269743
SS-large,RCD,HDBS-R,0.11875000000000001,0.0708333125,0.0933334375,435.38048299999997,0.4856752658618441,0.1354897186147186,-0.00659193458032165,0.8358608131089698,0.007289868499463506
SS-large,RCD,HDBS-SBD,0.1,0.0758333125,0.08349999999999999,338.46874125,0.48906619782588356,0.13501488095238093,-0.005193900316288075,0.8431175146993861,0.007703313529079528
SS-large,RCD,K-S test,0.13125,0.1308333125,0.1267916875,2031.08883075,0.5580951860872859,0.996875,0.02444863423235249,0.11931537217457171,0.01125303003269743
SS-large,RCD,MetricSifter,0.10625,0.1395833125,0.12166665625,1065.08872009375,0.717754827381714,0.9418100649350649,0.05956526167717484,0.49369958982836304,0.018420498173686718
SS-large,RCD,NSigma,0.10625,0.1416666875,0.119583375,1558.703530375,0.6408415181215169,0.9625378787878788,0.04062846410004525,0.3191451574551549,0.013838414394713531
SS-large,RCD,None,0.0875,0.1375,0.11312493750000001,2222.2877331875,0.5,1.0,-10.0,0.0,0.009989567569280213
SS-large,RS,BIRCH,0.012708668005074563,0.03143719899198068,0.018951399406218074,,0.6090289989588415,0.9761742424242424,0.034151237933785904,0.24188375549344074,0.012660794066248312
SS-large,RS,FluxInfer-AD,0.011288997832965338,0.027953467910521276,0.01684373790842673,,0.5580951860872859,0.996875,0.02444863423235249,0.11931537217457171,0.01125303003269743
SS-large,RS,HDBS-R,0.0074975049481833846,0.018557520812900706,0.01118411239420603,,0.4856752658618441,0.1354897186147186,-0.00659193458032165,0.8358608131089698,0.007289868499463506
SS-large,RS,HDBS-SBD,0.007933743352783976,0.01962470872628835,0.0118306569913205,,0.48906619782588356,0.13501488095238093,-0.005193900316288075,0.8431175146993861,0.007703313529079528
SS-large,RS,K-S test,0.011288997832965338,0.027953467910521276,0.01684373790842673,,0.5580951860872859,0.996875,0.02444863423235249,0.11931537217457171,0.01125303003269743
