dataset,localization_method,run_id_loc,reduction_method,chaos_comp,chaos_type,ac@2,ac@5,avg@5,elapsed_time_loc,run_id_tsdr,tp,tn,fn,fp,specificity,recall,proportion,f1_score,mcc,bacc,reduction_rate,elapsed_time_tsdr,num_metrics(reduced),num_metrics(filtered),num_metrics(raw),num_found_cause_metrics,rs_ac@2,rs_ac@5,rs_avg@5,elapsed_time_sum
SS-small,e-Diagnosis,TSDRLOC-1799,None,carts,pod-cpu-hog,0.0,0.0,0.0,2.812739,TSDR-1789,1.0,0.0,0.0,62.6,0.0,1.0,0.0157242063492063,0.0309615384615384,-10.0,0.5,0.0,0.31058,63,63,79,1.0,0.0312011472702506,0.0761869578282199,0.0461951496943808,3.123319
SS-small,RCD,TSDRLOC-1807,None,carts,pod-cpu-hog,0.3,0.333333,0.3,277.662391,TSDR-1789,1.0,0.0,0.0,62.6,0.0,1.0,0.0157242063492063,0.0309615384615384,-10.0,0.5,0.0,0.31058,63,63,79,1.0,0.0312011472702506,0.0761869578282199,0.0461951496943808,277.97297100000003
SS-small,CG+PageRank,TSDRLOC-1815,None,carts,pod-cpu-hog,0.0,0.0,0.0,0.04668,TSDR-1789,1.0,0.0,0.0,62.6,0.0,1.0,0.0157242063492063,0.0309615384615384,-10.0,0.5,0.0,0.31058,63,63,79,1.0,0.0312011472702506,0.0761869578282199,0.0461951496943808,0.35726
SS-small,PC+PageRank,TSDRLOC-1823,None,carts,pod-cpu-hog,0.1,0.133333,0.14,86.238447,TSDR-1789,1.0,0.0,0.0,62.6,0.0,1.0,0.0157242063492063,0.0309615384615384,-10.0,0.5,0.0,0.31058,63,63,79,1.0,0.0312011472702506,0.0761869578282199,0.0461951496943808,86.549027
SS-small,LiNGAM+PageRank,TSDRLOC-1831,None,carts,pod-cpu-hog,0.3,0.2,0.26,39.938229,TSDR-1789,1.0,0.0,0.0,62.6,0.0,1.0,0.0157242063492063,0.0309615384615384,-10.0,0.5,0.0,0.31058,63,63,79,1.0,0.0312011472702506,0.0761869578282199,0.0461951496943808,40.248809
SS-small,PC+HT,TSDRLOC-1839,None,carts,pod-cpu-hog,0.4,0.266667,0.28,68.513946,TSDR-1789,1.0,0.0,0.0,62.6,0.0,1.0,0.0157242063492063,0.0309615384615384,-10.0,0.5,0.0,0.31058,63,63,79,1.0,0.0312011472702506,0.0761869578282199,0.0461951496943808,68.824526
SS-small,LiNGAM+HT,TSDRLOC-1847,None,carts,pod-cpu-hog,0.3,0.266667,0.273333,40.115584,TSDR-1789,1.0,0.0,0.0,62.6,0.0,1.0,0.0157242063492063,0.0309615384615384,-10.0,0.5,0.0,0.31058,63,63,79,1.0,0.0312011472702506,0.0761869578282199,0.0461951496943808,40.426164
SS-small,RS,,None,carts,pod-cpu-hog,0.0312011472702506,0.0761869578282199,0.0461951496943808,,TSDR-1789,1.0,0.0,0.0,62.6,0.0,1.0,0.0157242063492063,0.0309615384615384,-10.0,0.5,0.0,0.31058,63,63,79,1.0,0.0312011472702506,0.0761869578282199,0.0461951496943808,
SS-small,e-Diagnosis,TSDRLOC-1799,None,carts,pod-memory-hog,0.0,0.0,0.0,2.838239,TSDR-1789,1.0,0.0,0.0,62.8,0.0,1.0,0.0156761294261294,0.0308682983682983,-10.0,0.5,0.0,0.30914,63,63,81,1.0,0.0311064842709902,0.0759611385157125,0.0460567791492442,3.1473790000000004
SS-small,RCD,TSDRLOC-1807,None,carts,pod-memory-hog,0.4,0.2,0.356667,291.794864,TSDR-1789,1.0,0.0,0.0,62.8,0.0,1.0,0.0156761294261294,0.0308682983682983,-10.0,0.5,0.0,0.30914,63,63,81,1.0,0.0311064842709902,0.0759611385157125,0.0460567791492442,292.10400400000003
SS-small,CG+PageRank,TSDRLOC-1815,None,carts,pod-memory-hog,0.0,0.0,0.0,0.052983,TSDR-1789,1.0,0.0,0.0,62.8,0.0,1.0,0.0156761294261294,0.0308682983682983,-10.0,0.5,0.0,0.30914,63,63,81,1.0,0.0311064842709902,0.0759611385157125,0.0460567791492442,0.36212300000000003
SS-small,PC+PageRank,TSDRLOC-1823,None,carts,pod-memory-hog,0.3,0.12,0.234,93.266802,TSDR-1789,1.0,0.0,0.0,62.8,0.0,1.0,0.0156761294261294,0.0308682983682983,-10.0,0.5,0.0,0.30914,63,63,81,1.0,0.0311064842709902,0.0759611385157125,0.0460567791492442,93.575942
SS-small,LiNGAM+PageRank,TSDRLOC-1831,None,carts,pod-memory-hog,0.0,0.0,0.0,40.032056,TSDR-1789,1.0,0.0,0.0,62.8,0.0,1.0,0.0156761294261294,0.0308682983682983,-10.0,0.5,0.0,0.30914,63,63,81,1.0,0.0311064842709902,0.0759611385157125,0.0460567791492442,40.341196
SS-small,PC+HT,TSDRLOC-1839,None,carts,pod-memory-hog,0.2,0.08,0.142667,36.448799,TSDR-1789,1.0,0.0,0.0,62.8,0.0,1.0,0.0156761294261294,0.0308682983682983,-10.0,0.5,0.0,0.30914,63,63,81,1.0,0.0311064842709902,0.0759611385157125,0.0460567791492442,36.757939
SS-small,LiNGAM+HT,TSDRLOC-1847,None,carts,pod-memory-hog,0.2,0.2,0.21,40.44818,TSDR-1789,1.0,0.0,0.0,62.8,0.0,1.0,0.0156761294261294,0.0308682983682983,-10.0,0.5,0.0,0.30914,63,63,81,1.0,0.0311064842709902,0.0759611385157125,0.0460567791492442,40.75732
SS-small,RS,,None,carts,pod-memory-hog,0.0311064842709902,0.0759611385157125,0.0460567791492442,,TSDR-1789,1.0,0.0,0.0,62.8,0.0,1.0,0.0156761294261294,0.0308682983682983,-10.0,0.5,0.0,0.30914,63,63,81,1.0,0.0311064842709902,0.0759611385157125,0.0460567791492442,
SS-small,e-Diagnosis,TSDRLOC-1799,None,carts-db,pod-cpu-hog,0.0,0.0,0.0,2.794496,TSDR-1789,1.0,0.0,0.0,63.2,0.0,1.0,0.0155784493284493,0.0306789044289044,-10.0,0.5,0.0,0.3013,64,64,81,1.0,0.0309141773241045,0.0755025621044727,0.0457757388831611,3.095796
SS-small,RCD,TSDRLOC-1807,None,carts-db,pod-cpu-hog,0.3,0.2,0.18,294.590703,TSDR-1789,1.0,0.0,0.0,63.2,0.0,1.0,0.0155784493284493,0.0306789044289044,-10.0,0.5,0.0,0.3013,64,64,81,1.0,0.0309141773241045,0.0755025621044727,0.0457757388831611,294.89200300000005
SS-small,CG+PageRank,TSDRLOC-1815,None,carts-db,pod-cpu-hog,0.0,0.0,0.0,0.062937,TSDR-1789,1.0,0.0,0.0,63.2,0.0,1.0,0.0155784493284493,0.0306789044289044,-10.0,0.5,0.0,0.3013,64,64,81,1.0,0.0309141773241045,0.0755025621044727,0.0457757388831611,0.36423700000000003
SS-small,PC+PageRank,TSDRLOC-1823,None,carts-db,pod-cpu-hog,0.1,0.066667,0.06,95.589556,TSDR-1789,1.0,0.0,0.0,63.2,0.0,1.0,0.0155784493284493,0.0306789044289044,-10.0,0.5,0.0,0.3013,64,64,81,1.0,0.0309141773241045,0.0755025621044727,0.0457757388831611,95.890856
SS-small,LiNGAM+PageRank,TSDRLOC-1831,None,carts-db,pod-cpu-hog,0.2,0.266667,0.2,40.821141,TSDR-1789,1.0,0.0,0.0,63.2,0.0,1.0,0.0155784493284493,0.0306789044289044,-10.0,0.5,0.0,0.3013,64,64,81,1.0,0.0309141773241045,0.0755025621044727,0.0457757388831611,41.122440999999995
SS-small,PC+HT,TSDRLOC-1839,None,carts-db,pod-cpu-hog,0.1,0.066667,0.06,74.712805,TSDR-1789,1.0,0.0,0.0,63.2,0.0,1.0,0.0155784493284493,0.0306789044289044,-10.0,0.5,0.0,0.3013,64,64,81,1.0,0.0309141773241045,0.0755025621044727,0.0457757388831611,75.014105
SS-small,LiNGAM+HT,TSDRLOC-1847,None,carts-db,pod-cpu-hog,0.0,0.2,0.093333,40.949935,TSDR-1789,1.0,0.0,0.0,63.2,0.0,1.0,0.0155784493284493,0.0306789044289044,-10.0,0.5,0.0,0.3013,64,64,81,1.0,0.0309141773241045,0.0755025621044727,0.0457757388831611,41.251235
SS-small,RS,,None,carts-db,pod-cpu-hog,0.0309141773241045,0.0755025621044727,0.0457757388831611,,TSDR-1789,1.0,0.0,0.0,63.2,0.0,1.0,0.0155784493284493,0.0306789044289044,-10.0,0.5,0.0,0.3013,64,64,81,1.0,0.0309141773241045,0.0755025621044727,0.0457757388831611,
SS-small,e-Diagnosis,TSDRLOC-1799,None,carts-db,pod-memory-hog,0.0,0.0,0.0,2.802206,TSDR-1789,1.0,0.0,0.0,63.0,0.0,1.0,0.015625,0.0307692307692307,-10.0,0.5,0.0,0.31774,64,64,81,1.0,0.031005859375,0.0757214436307549,0.0459098102524876,3.119946
SS-small,RCD,TSDRLOC-1807,None,carts-db,pod-memory-hog,0.1,0.16,0.135333,238.441542,TSDR-1789,1.0,0.0,0.0,63.0,0.0,1.0,0.015625,0.0307692307692307,-10.0,0.5,0.0,0.31774,64,64,81,1.0,0.031005859375,0.0757214436307549,0.0459098102524876,238.75928199999998
SS-small,CG+PageRank,TSDRLOC-1815,None,carts-db,pod-memory-hog,0.0,0.0,0.0,0.05097,TSDR-1789,1.0,0.0,0.0,63.0,0.0,1.0,0.015625,0.0307692307692307,-10.0,0.5,0.0,0.31774,64,64,81,1.0,0.031005859375,0.0757214436307549,0.0459098102524876,0.36871000000000004
SS-small,PC+PageRank,TSDRLOC-1823,None,carts-db,pod-memory-hog,0.0,0.0,0.0,87.523174,TSDR-1789,1.0,0.0,0.0,63.0,0.0,1.0,0.015625,0.0307692307692307,-10.0,0.5,0.0,0.31774,64,64,81,1.0,0.031005859375,0.0757214436307549,0.0459098102524876,87.840914
SS-small,LiNGAM+PageRank,TSDRLOC-1831,None,carts-db,pod-memory-hog,0.0,0.0,0.0,40.236676,TSDR-1789,1.0,0.0,0.0,63.0,0.0,1.0,0.015625,0.0307692307692307,-10.0,0.5,0.0,0.31774,64,64,81,1.0,0.031005859375,0.0757214436307549,0.0459098102524876,40.554416
SS-small,PC+HT,TSDRLOC-1839,None,carts-db,pod-memory-hog,0.0,0.08,0.062667,51.735936,TSDR-1789,1.0,0.0,0.0,63.0,0.0,1.0,0.015625,0.0307692307692307,-10.0,0.5,0.0,0.31774,64,64,81,1.0,0.031005859375,0.0757214436307549,0.0459098102524876,52.053676
SS-small,LiNGAM+HT,TSDRLOC-1847,None,carts-db,pod-memory-hog,0.0,0.04,0.008,40.855072,TSDR-1789,1.0,0.0,0.0,63.0,0.0,1.0,0.015625,0.0307692307692307,-10.0,0.5,0.0,0.31774,64,64,81,1.0,0.031005859375,0.0757214436307549,0.0459098102524876,41.172812
SS-small,RS,,None,carts-db,pod-memory-hog,0.031005859375,0.0757214436307549,0.0459098102524876,,TSDR-1789,1.0,0.0,0.0,63.0,0.0,1.0,0.015625,0.0307692307692307,-10.0,0.5,0.0,0.31774,64,64,81,1.0,0.031005859375,0.0757214436307549,0.0459098102524876,
SS-small,e-Diagnosis,TSDRLOC-1799,None,catalogue,pod-cpu-hog,0.0,0.066667,0.013333,2.820904,TSDR-1789,1.0,0.0,0.0,63.0,0.0,1.0,0.0156295093795093,0.0307778415614236,-10.0,0.5,0.0,0.29526,64,64,81,1.0,0.0310146677735793,0.0757419515073842,0.0459225163747842,3.116164
SS-small,RCD,TSDRLOC-1807,None,catalogue,pod-cpu-hog,0.4,0.333333,0.36,227.028514,TSDR-1789,1.0,0.0,0.0,63.0,0.0,1.0,0.0156295093795093,0.0307778415614236,-10.0,0.5,0.0,0.29526,64,64,81,1.0,0.0310146677735793,0.0757419515073842,0.0459225163747842,227.32377400000001
SS-small,CG+PageRank,TSDRLOC-1815,None,catalogue,pod-cpu-hog,0.0,0.0,0.0,0.078545,TSDR-1789,1.0,0.0,0.0,63.0,0.0,1.0,0.0156295093795093,0.0307778415614236,-10.0,0.5,0.0,0.29526,64,64,81,1.0,0.0310146677735793,0.0757419515073842,0.0459225163747842,0.37380500000000005
SS-small,PC+PageRank,TSDRLOC-1823,None,catalogue,pod-cpu-hog,0.1,0.066667,0.1,87.880351,TSDR-1789,1.0,0.0,0.0,63.0,0.0,1.0,0.0156295093795093,0.0307778415614236,-10.0,0.5,0.0,0.29526,64,64,81,1.0,0.0310146677735793,0.0757419515073842,0.0459225163747842,88.175611
SS-small,LiNGAM+PageRank,TSDRLOC-1831,None,catalogue,pod-cpu-hog,0.4,0.333333,0.386667,40.531598,TSDR-1789,1.0,0.0,0.0,63.0,0.0,1.0,0.0156295093795093,0.0307778415614236,-10.0,0.5,0.0,0.29526,64,64,81,1.0,0.0310146677735793,0.0757419515073842,0.0459225163747842,40.826858
SS-small,PC+HT,TSDRLOC-1839,None,catalogue,pod-cpu-hog,0.2,0.333333,0.28,87.901053,TSDR-1789,1.0,0.0,0.0,63.0,0.0,1.0,0.0156295093795093,0.0307778415614236,-10.0,0.5,0.0,0.29526,64,64,81,1.0,0.0310146677735793,0.0757419515073842,0.0459225163747842,88.196313
SS-small,LiNGAM+HT,TSDRLOC-1847,None,catalogue,pod-cpu-hog,0.5,0.333333,0.5,41.604621,TSDR-1789,1.0,0.0,0.0,63.0,0.0,1.0,0.0156295093795093,0.0307778415614236,-10.0,0.5,0.0,0.29526,64,64,81,1.0,0.0310146677735793,0.0757419515073842,0.0459225163747842,41.899881
SS-small,RS,,None,catalogue,pod-cpu-hog,0.0310146677735793,0.0757419515073842,0.0459225163747842,,TSDR-1789,1.0,0.0,0.0,63.0,0.0,1.0,0.0156295093795093,0.0307778415614236,-10.0,0.5,0.0,0.29526,64,64,81,1.0,0.0310146677735793,0.0757419515073842,0.0459225163747842,
SS-small,e-Diagnosis,TSDRLOC-1799,None,catalogue,pod-memory-hog,0.1,0.08,0.122667,2.845026,TSDR-1789,1.0,0.0,0.0,64.0,0.0,1.0,0.0153860722610722,0.0303058135893956,-10.0,0.5,0.0,0.299,65,65,81,1.0,0.0305353908805476,0.0745989793723971,0.0452220652974813,3.1440259999999998
SS-small,RCD,TSDRLOC-1807,None,catalogue,pod-memory-hog,0.3,0.12,0.274,456.352728,TSDR-1789,1.0,0.0,0.0,64.0,0.0,1.0,0.0153860722610722,0.0303058135893956,-10.0,0.5,0.0,0.299,65,65,81,1.0,0.0305353908805476,0.0745989793723971,0.0452220652974813,456.651728
