,anomaly_type,num_node,num_edge,func_type,noise_type,weight_generator,num_normal_samples,num_abnormal_samples,reduction_method,num_remained,num_total,reduction_rate,root_cause_recall,recall,precision,specificity,f1_score,bacc,elapsed_time_tsdr,trial_no
0,0,50,100,identity,exponential,normal,160,20,BIRCH,33.8,50.0,0.32399999999999995,1.0,0.9882352941176471,0.46180345981958804,0.4668366422849181,0.6120471014492754,0.7275359682012825,0.0246292008087039,3.0
1,0,50,100,identity,exponential,normal,160,20,FluxInfer-AD,32.8,50.0,0.344,1.0,0.9714285714285713,0.471685765215177,0.5017965865552073,0.6112923912245947,0.7366125789918894,2.5892828319221737,3.0
2,0,50,100,identity,exponential,normal,160,20,HDBS-R,6.8,50.0,0.8640000000000001,0.13333333333333333,0.13462184873949581,0.3571428571428571,0.8671842563566703,0.17678787878787877,0.500903052548083,1.4344294333830476,3.0
3,0,50,100,identity,exponential,normal,160,20,HDBS-SBD,6.2,50.0,0.876,0.18333333333333332,0.1602016806722689,0.3895238095238095,0.8882396377568792,0.2111111111111111,0.524220659214574,0.09222390819340945,3.0
4,0,50,100,identity,exponential,normal,160,20,K-S test,16.2,50.0,0.6759999999999999,1.0,0.9341400560224089,0.8984126984126984,0.9651034482758621,0.909386803672518,0.9496217521491355,0.011347499303519725,3.0
5,0,50,100,identity,exponential,normal,160,20,MetricSifter,16.8,50.0,0.664,1.0,0.9802352941176471,0.915909090909091,0.9797701149425289,0.9390527523417889,0.980002704530088,0.05691209156066179,3.0
6,0,50,100,identity,exponential,normal,160,20,NSigma,37.0,50.0,0.26,1.0,0.992,0.4261494252873563,0.37571299198885405,0.5775540884701926,0.6838564959944271,0.005747827515006065,3.0
7,0,50,100,identity,exponential,normal,160,20,None,50.0,50.0,0.0,1.0,1.0,0.328,0.0,0.4769993661653321,0.5,5.038082599639893e-06,3.0
8,0,50,100,identity,exponential,uniform,160,20,BIRCH,30.2,50.0,0.396,1.0,0.9733333333333334,0.3424272349272349,0.4902395272463436,0.477100435796088,0.7317864302898385,0.026459298096597195,3.0
9,0,50,100,identity,exponential,uniform,160,20,FluxInfer-AD,27.2,50.0,0.45600000000000007,1.0,0.9542857142857143,0.34742576264315395,0.5602589070913049,0.4710027594238121,0.7572723106885096,2.7506718821823597,3.0
10,0,50,100,identity,exponential,uniform,160,20,HDBS-R,7.4,50.0,0.852,0.06666666666666667,0.17714285714285713,0.2876190476190476,0.8704094588918165,0.20714285714285716,0.5237761580173368,1.436328375339508,3.0
11,0,50,100,identity,exponential,uniform,160,20,HDBS-SBD,5.0,50.0,0.9,0.26666666666666666,0.14476190476190476,0.32,0.9144903005307977,0.19076923076923075,0.5296261026463512,0.09000516347587109,3.0
12,0,50,100,identity,exponential,uniform,160,20,K-S test,11.2,50.0,0.776,1.0,0.9542857142857143,0.8069444444444445,0.9600858250276854,0.867741935483871,0.9571857696566998,0.011507830768823623,3.0
13,0,50,100,identity,exponential,uniform,160,20,MetricSifter,11.4,50.0,0.772,0.8,0.7733333333333333,0.7287142857142858,0.9495483445984648,0.7485857071464268,0.8614408389658991,0.05076329447329044,3.0
14,0,50,100,identity,exponential,uniform,160,20,NSigma,35.6,50.0,0.288,1.0,0.9638095238095238,0.27206252811515974,0.3473515484782526,0.3982620135340921,0.6555805361438882,0.006155666522681713,3.0
15,0,50,100,identity,exponential,uniform,160,20,None,50.0,50.0,0.0,1.0,1.0,0.20800000000000002,0.0,0.324247780882325,0.5,5.276128649711609e-06,3.0
16,0,50,100,identity,laplace,normal,160,20,BIRCH,36.0,50.0,0.27999999999999997,1.0,1.0,0.4438292073586191,0.4232914696576696,0.5976406926406928,0.7116457348288348,0.024102405272424222,3.0
17,0,50,100,identity,laplace,normal,160,20,FluxInfer-AD,27.6,50.0,0.44800000000000006,1.0,0.9779761904761906,0.5456726342710997,0.6425551575356157,0.6914940218511647,0.8102656740059031,2.963149772211909,3.0
18,0,50,100,identity,laplace,normal,160,20,HDBS-R,6.6,50.0,0.868,0.0,0.1350108225108225,0.275,0.8595273251954595,0.17213064713064713,0.497269073853141,1.4539779471233487,3.0
19,0,50,100,identity,laplace,normal,160,20,HDBS-SBD,6.4,50.0,0.8720000000000001,0.1,0.14958513708513707,0.3682539682539682,0.8822217377602526,0.19821030821030822,0.5159034374226948,0.09126045256853103,3.0
20,0,50,100,identity,laplace,normal,160,20,K-S test,18.0,50.0,0.6399999999999999,1.0,0.9652777777777779,0.8398095238095238,0.9290404717233987,0.8901157629832991,0.947159124750588,0.011269508488476276,3.0
21,0,50,100,identity,laplace,normal,160,20,MetricSifter,15.8,50.0,0.6839999999999999,1.0,1.0,1.0,1.0,1.0,1.0,0.057940385118126866,3.0
22,0,50,100,identity,laplace,normal,160,20,NSigma,37.2,50.0,0.256,1.0,0.9813852813852814,0.40819792287815543,0.35681794746752943,0.5673671821127643,0.6691016144264055,0.008649559505283833,3.0
23,0,50,100,identity,laplace,normal,160,20,None,50.0,50.0,0.0,1.0,1.0,0.316,0.0,0.4706498750403748,0.5,4.852190613746643e-06,3.0
24,0,50,100,identity,laplace,uniform,160,20,BIRCH,38.8,50.0,0.22400000000000003,1.0,0.9672401767030923,0.5582107072873146,0.3937380952380952,0.6916220528384038,0.6804891359705938,0.025674283504486084,3.0
25,0,50,100,identity,laplace,uniform,160,20,FluxInfer-AD,32.0,50.0,0.36,1.0,0.8902748198093466,0.6176079404466501,0.5727962962962962,0.7177513180729026,0.7315355580528214,2.476147722825408,3.0
26,0,50,100,identity,laplace,uniform,160,20,HDBS-R,6.8,50.0,0.8640000000000001,0.1,0.18849290862590093,0.5821428571428571,0.8943201058201058,0.26692908742444343,0.5414065072230034,1.452661851234734,3.0
